,date,Los Angeles,New York
0,2000-01-01,0.008375,0.0040323333333333
1,2000-01-02,,0.0094859999999999
2,2000-01-03,,0.0055798333333333
3,2000-01-04,0.0055,0.0087173333333333
4,2000-01-05,0.005,0.0137535
5,2000-01-06,0.004917,0.0090693333333333
6,2000-01-07,0.004292,0.0083331666666666
7,2000-01-08,0.005458,0.0076391666666666
8,2000-01-09,0.005958,0.0045693333333333
9,2000-01-10,0.005167,0.0058333333333333
10,2000-01-11,0.00325,0.0099376666666666
11,2000-01-12,0.002792,0.0096556666666666
12,2000-01-13,0.005292,0.0119904999999999
13,2000-01-14,0.003625,0.0194166666666666
14,2000-01-15,0.0029579999999999,
15,2000-01-16,0.002917,0.0164235000000001
16,2000-01-17,0.000292,
17,2000-01-18,0.0055,
18,2000-01-19,0.002833,0.0073856666666666
19,2000-01-20,0.00325,0.0064096666666666
20,2000-01-21,0.004667,0.019178
21,2000-01-22,0.003667,0.0150348333333336
22,2000-01-23,0.002625,
23,2000-01-24,0.003375,0.0039119999999999
24,2000-01-25,0.003208,0.0108681666666667
25,2000-01-26,0.0115,0.0133908333333333
26,2000-01-27,0.004167,0.0176109999999999
27,2000-01-28,0.005292,0.0180348333333333
28,2000-01-29,0.009208,0.0124026666666666
29,2000-01-30,0.008083,0.0077428333333333
30,2000-01-31,0.004125,0.0055451666666667
31,2000-02-01,0.0057079999999999,0.0105833333333333
32,2000-02-02,0.0069999999999999,0.0177381666666666
33,2000-02-03,0.009292,
34,2000-02-04,0.005167,
35,2000-02-05,,
36,2000-02-06,0.0140419999999999,
37,2000-02-07,,
38,2000-02-08,,
39,2000-02-09,0.007833,0.0067638333333334
40,2000-02-10,0.007625,0.0061916666666666
41,2000-02-11,,0.0102431666666666
42,2000-02-12,0.019167,0.0109235
43,2000-02-13,0.008042,0.0091876666666666
44,2000-02-14,0.003,0.0076736666666666
45,2000-02-15,0.003583,0.0162153333333333
46,2000-02-16,0.006625,0.0096596666666666
47,2000-02-17,,0.0157466666666666
48,2000-02-18,0.006833,0.0107258333333333
49,2000-02-19,0.0159169999999999,0.0075206666666666
50,2000-02-20,0.025792,0.019639
51,2000-02-21,0.0140419999999999,0.0165208333333335
52,2000-02-22,0.004875,0.0097776666666666
53,2000-02-23,,0.0095256666666666
54,2000-02-24,0.009917,0.0058401666666666
55,2000-02-25,,0.0114861666666666
56,2000-02-26,0.010208,0.0124933333333333
57,2000-02-27,0.008292,0.0135485000000002
58,2000-02-28,0.008333,0.0176388333333333
59,2000-02-29,0.0109579999999999,0.0161388333333333
60,2000-03-01,0.010375,0.0074176666666666
61,2000-03-02,0.009375,0.0168751666666666
62,2000-03-03,0.012542,0.0244443333333333
63,2000-03-04,0.0169169999999999,0.0214100000000001
64,2000-03-05,0.021875,0.0233928333333333
65,2000-03-06,0.012125,0.0218441666666667
66,2000-03-07,0.010458,0.0094249999999998
67,2000-03-08,0.010208,0.0104835
68,2000-03-09,0.012958,0.0127118333333333
69,2000-03-10,0.010458,0.0159583333333334
70,2000-03-11,0.0132919999999999,0.0167223333333333
71,2000-03-12,0.015,0.015425
72,2000-03-13,0.011542,0.015435
73,2000-03-14,0.01625,0.0152663333333333
74,2000-03-15,,0.0171551666666666
75,2000-03-16,0.027792,0.0100186666666667
76,2000-03-17,0.0155419999999999,0.020128
77,2000-03-18,0.023125,0.0175831666666667
78,2000-03-19,0.025958,0.0170485
79,2000-03-20,0.027,0.0177221666666666
80,2000-03-21,0.021625,0.0168403333333333
81,2000-03-22,0.0145,0.0101319999999999
82,2000-03-23,0.016833,0.0073818333333333
83,2000-03-24,0.011375,0.0171319999999999
84,2000-03-25,0.0199169999999999,0.0185693333333334
85,2000-03-26,0.022208,0.025967
86,2000-03-27,0.011625,0.0256944999999999
87,2000-03-28,,0.0218249999999998
88,2000-03-29,0.018708,0.0154721999999999
89,2000-03-30,0.015708,0.0186303333333333
90,2000-03-31,0.0288329999999999,0.0170039999999999
91,2000-04-01,0.031958,0.017631
92,2000-04-02,0.026125,0.02353
93,2000-04-03,0.017417,0.0110312499999998
94,2000-04-04,0.017375,0.0188313749999999
95,2000-04-05,0.0129169999999999,0.016355875
96,2000-04-06,0.022333,0.0202377499999999
97,2000-04-07,0.018167,0.025831625
98,2000-04-08,0.018375,0.037098875
99,2000-04-09,0.0200419999999999,0.0248624999999997
100,2000-04-10,0.013125,0.019587375
101,2000-04-11,0.0170419999999999,0.009592
102,2000-04-12,0.018417,0.020156125
103,2000-04-13,0.0149169999999999,0.0212439999999999
104,2000-04-14,0.0159169999999999,0.0206435714285714
105,2000-04-15,0.0171669999999999,0.0077262857142856
106,2000-04-16,0.0210419999999999,0.013673125
107,2000-04-17,0.008333,0.020145125
108,2000-04-18,0.02225,0.0220483750000002
109,2000-04-19,,0.0171511249999999
110,2000-04-20,0.018542,0.018015625
111,2000-04-21,0.027875,0.0253438750000001
112,2000-04-22,0.025875,0.01671875
113,2000-04-23,0.0206669999999999,0.014979125
114,2000-04-24,0.01625,0.0269078750000004
115,2000-04-25,0.0166669999999999,0.024590125
116,2000-04-26,0.025125,0.0171382499999999
117,2000-04-27,0.024056,0.00814575
118,2000-04-28,0.021167,0.011527875
119,2000-04-29,0.022542,0.020289875
120,2000-04-30,0.026167,0.0313542499999993
121,2000-05-01,0.021208,0.0226276249999999
122,2000-05-02,0.022083,0.0260179999999999
123,2000-05-03,0.026792,0.0328651428571427
124,2000-05-04,0.0433329999999999,0.0294941428571429
125,2000-05-05,0.02975,0.0208214285714285
126,2000-05-06,0.030417,0.0404524285714281
127,2000-05-07,0.023708,0.0425355714285714
128,2000-05-08,0.0110829999999999,0.0340239999999999
129,2000-05-09,0.013125,0.0448332857142851
130,2000-05-10,0.0200419999999999,0.015256
131,2000-05-11,0.02575,0.0183821428571428
132,2000-05-12,0.0204169999999999,0.0204527142857145
133,2000-05-13,0.025833,0.0254405714285714
134,2000-05-14,0.023125,0.0352441428571428
135,2000-05-15,0.02225,0.0270680000000001
136,2000-05-16,,0.0324167142857142
137,2000-05-17,0.01875,0.0411049999999999
138,2000-05-18,0.018792,0.0319881428571426
139,2000-05-19,0.0210419999999999,0.0151012857142856
140,2000-05-20,0.0354579999999999,0.0168257142857142
141,2000-05-21,0.035792,0.0198452857142859
142,2000-05-22,0.021083,0.0146705714285714
143,2000-05-23,0.01975,0.0210714285714286
144,2000-05-24,0.0162919999999999,0.0280715714285712
145,2000-05-25,0.025208,0.0270079999999999
146,2000-05-26,0.0202919999999999,0.0276131428571427
147,2000-05-27,0.037958,0.0245298571428567
148,2000-05-28,0.045625,0.027363
149,2000-05-29,0.041875,0.0224167142857142
150,2000-05-30,0.029708,0.0200239999999998
151,2000-05-31,,0.0170118571428571
152,2000-06-01,0.036333,0.0302818571428571
153,2000-06-02,0.039625,0.0416221428571434
154,2000-06-03,0.037833,0.025024
155,2000-06-04,0.032542,0.0289581428571427
156,2000-06-05,0.0175,0.0241804285714284
157,2000-06-06,,0.0167022857142857
158,2000-06-07,0.019667,0.0207468571428571
159,2000-06-08,0.014333,0.0320652857142862
160,2000-06-09,0.021708,0.0537301428571429
161,2000-06-10,0.0287079999999999,0.0760771428571428
162,2000-06-11,0.03125,0.056190571428572
163,2000-06-12,0.0247919999999999,0.0147858571428571
164,2000-06-13,0.019458,0.0163005714285714
165,2000-06-14,0.0136669999999999,0.0131289999999999
166,2000-06-15,0.026417,0.0129344285714286
167,2000-06-16,0.021833,0.0274939999999999
168,2000-06-17,0.025417,0.0305892857142856
169,2000-06-18,0.026208,0.0220592857142857
170,2000-06-19,0.023583,0.0151632857142856
171,2000-06-20,0.030625,0.0365891428571431
172,2000-06-21,0.027125,0.0301192857142857
173,2000-06-22,0.022708,0.0297281428571427
174,2000-06-23,0.0204169999999999,0.024607
175,2000-06-24,0.023083,0.0442201428571429
176,2000-06-25,,0.0303632857142856
177,2000-06-26,,0.0356309999999993
178,2000-06-27,,0.0249527142857142
179,2000-06-28,0.0242919999999999,0.0243492857142856
180,2000-06-29,0.0255,0.0214287142857143
181,2000-06-30,0.028042,0.0261817142857142
182,2000-07-01,0.03275,0.0334167142857142
183,2000-07-02,0.035167,0.0493401666666661
184,2000-07-03,0.025083,0.0377917142857142
185,2000-07-04,0.028417,0.0358867142857142
